ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
1,Principles of Arts Administration,"An overview of the field of arts administration, including the basic principles of  nonprofit organizations. It will be an introduction to the history, philosophy, practice, and ethics of the profession. Students will also examine the arts as an industry, and gain an understanding of how organizational structures vary according to artistic discipline (opera, theatre, dance) and the difference between presenting and producing organizations. A portion of the course will look at the for-profit arts world as well as other competitors to nonprofit arts, and examine similarities and differences between them. OC",200,3,AADM,THTR,,,,,,,,,,
2,Special Topics,"Courses on topics of interest to arts administration students offered on the basis of need, interest, or timeliness. Prerequisites: as determined by the instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,AADM,THTR,,,,,,,,,,
3,Experiential Learning: Internship,"Non-classroom experiences in the field of arts administration. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with freshman or sophomore standing. Graded CR/NC.",287,6,AADM,THTR,,,,,,,,,,
4,Independent Study,Independent reading and/or research under the guidance of a faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: as determined by instructor. May be repeated for credit.,288,3,AADM,THTR,,,,,,,,,,
5,Performing Arts Management,"Particular problems relating to theatre, music, dance, and presenting organizations will be addressed in this introductory course. Contractual agreements, balancing the necessities of performers and technical staff, scheduling, touring, and coping with performance situations in a presenting house will be addressed. Arts education and outreach and planning repertoire and program development, both artistically and financially, will be included. (Equivalent to THTR 300.)",300,3,AADM,THTR,,,,,,,,,,
6,Arts Marketing Applications,"Students become comfortable with marketing terminology and concepts. They will understand the importance of branding, messaging, implementation and follow-up. Students will become familiar with the components of a strategic marketing plan and learn how to write a marketing plan. Most importantly, students will understand and experience practical applications of marketing concepts to the everyday reality of the art world.",340,3,AADM,THTR,,,,,,,,,,
7,Managing Visual Arts Organizations,"This course provides an overview of how fine arts exhibition venues work. Through lectures, discussions, field trips, written assignments and visiting speakers, students will be given an introduction to the basics of managing galleries and museums. Topics include: types of galleries, museums, and exhibition spaces, exhibition development and budgeting, curatorial and design responsibilities for exhibits, collection acquisitions and de-acquisitions, audience education and development, proper handling, preservation and presentation of artworks.",350,3,AADM,THTR,,,,,,,,,,
8,Arts Administration Seminar,"This capstone course is designed to provide the student with a summary experience in Arts Administration. Strategic and practice planning, leadership theory, fundraising theory, as well as job search skills will be addressed.  Required of AADM majors. Prerequisites: 300; junior or senior standing.",400,3,AADM,THTR,,,,,,,,,,
9,Special Topics,"Courses on topics of interest to arts administration students offered on the basis of need, interest, or timeliness. Prerequisites: as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit. See registrar's office current class schedules Web page for specific semester description.",486,3,AADM,THTR,,,,,,,,,,
10,Experiential Learning: Internship,"Non-classroom experiences in the field of arts administration. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with junior standing or higher. Graded CR/NC.",487,6,AADM,THTR,,,,,,,,,,
